source_doc_id,source_url,source_path,一级分类,二级分类,三级分类,接口中文名称,接口英文名 / API 名称,接口描述,权限要求原文,最低积分要求,当前5000积分是否可用,每分钟调用限制,每日调用限制,单次最大返回条数,输入参数,输出参数,是否属于基础数据,是否属于行情数据,是否属于财务数据,是否属于新闻/资讯/舆情数据,是否属于资金流/资金面数据,是否属于股东/解禁/龙虎榜/公告等事件数据,是否适合作为TradingAgents-astock数据源替换候选,可替换当前TradingAgents哪类函数或数据主题,备注
325,https://tushare.pro/document/2?doc_id=325,指数专题 > 采购经理人指数,指数专题,,,采购经理人指数,cn_pmi,采购经理人指数,限量：单次最大2000，一次可以提取全部数据；权限：用户积累5000积分可以使用，具体请参阅 积分获取办法,5000,5000积分可用,,,,"m(类型:str,必选:N):月度（202401表示，2024年1月） | start_m(类型:str,必选:N):开始月度 | end_m(类型:str,必选:N):结束月度（e.g. fields='month,pmi010000,pmi010400'）",month(类型:str):月份YYYYMM | pmi010000(类型:float):制造业PMI | pmi010100(类型:float):制造业PMI:企业规模/大型企业 | pmi010200(类型:float):制造业PMI:企业规模/中型企业 | pmi010300(类型:float):制造业PMI:企业规模/小型企业 | pmi010400(类型:float):制造业PMI:构成指数/生产指数 | pmi010401(类型:float):制造业PMI:构成指数/生产指数:企业规模/大型企业 | pmi010402(类型:float):制造业PMI:构成指数/生产指数:企业规模/中型企业 | pmi010403(类型:float):制造业PMI:构成指数/生产指数:企业规模/小型企业 | pmi010500(类型:float):制造业PMI:构成指数/新订单指数 | pmi010501(类型:float):制造业PMI:构成指数/新订单指数:企业规模/大型企业 | pmi010502(类型:float):制造业PMI:构成指数/新订单指数:企业规模/中型企业 | pmi010503(类型:float):制造业PMI:构成指数/新订单指数:企业规模/小型企业 | pmi010600(类型:float):制造业PMI:构成指数/供应商配送时间指数 | pmi010601(类型:float):制造业PMI:构成指数/供应商配送时间指数:企业规模/大型企业 | pmi010602(类型:float):制造业PMI:构成指数/供应商配送时间指数:企业规模/中型企业 | pmi010603(类型:float):制造业PMI:构成指数/供应商配送时间指数:企业规模/小型企业 | pmi010700(类型:float):制造业PMI:构成指数/原材料库存指数 | pmi010701(类型:float):制造业PMI:构成指数/原材料库存指数:企业规模/大型企业 | pmi010702(类型:float):制造业PMI:构成指数/原材料库存指数:企业规模/中型企业 | pmi010703(类型:float):制造业PMI:构成指数/原材料库存指数:企业规模/小型企业 | pmi010800(类型:float):制造业PMI:构成指数/从业人员指数 | pmi010801(类型:float):制造业PMI:构成指数/从业人员指数:企业规模/大型企业 | pmi010802(类型:float):制造业PMI:构成指数/从业人员指数:企业规模/中型企业 | pmi010803(类型:float):制造业PMI:构成指数/从业人员指数:企业规模/小型企业 | pmi010900(类型:float):制造业PMI:其他/新出口订单 | pmi011000(类型:float):制造业PMI:其他/进口 | pmi011100(类型:float):制造业PMI:其他/采购量 | pmi011200(类型:float):制造业PMI:其他/主要原材料购进价格 | pmi011300(类型:float):制造业PMI:其他/出厂价格 | pmi011400(类型:float):制造业PMI:其他/产成品库存 | pmi011500(类型:float):制造业PMI:其他/在手订单 | pmi011600(类型:float):制造业PMI:其他/生产经营活动预期 | pmi011700(类型:float):制造业PMI:分行业/装备制造业 | pmi011800(类型:float):制造业PMI:分行业/高技术制造业 | pmi011900(类型:float):制造业PMI:分行业/基础原材料制造业 | pmi012000(类型:float):制造业PMI:分行业/消费品制造业 | pmi020100(类型:float):非制造业PMI:商务活动 | pmi020101(类型:float):非制造业PMI:商务活动:分行业/建筑业 | pmi020102(类型:float):非制造业PMI:商务活动:分行业/服务业业 | pmi020200(类型:float):非制造业PMI:新订单指数 | pmi020201(类型:float):非制造业PMI:新订单指数:分行业/建筑业 | pmi020202(类型:float):非制造业PMI:新订单指数:分行业/服务业 | pmi020300(类型:float):非制造业PMI:投入品价格指数 | pmi020301(类型:float):非制造业PMI:投入品价格指数:分行业/建筑业 | pmi020302(类型:float):非制造业PMI:投入品价格指数:分行业/服务业 | pmi020400(类型:float):非制造业PMI:销售价格指数 | pmi020401(类型:float):非制造业PMI:销售价格指数:分行业/建筑业 | pmi020402(类型:float):非制造业PMI:销售价格指数:分行业/服务业 | pmi020500(类型:float):非制造业PMI:从业人员指数 | pmi020501(类型:float):非制造业PMI:从业人员指数:分行业/建筑业 | pmi020502(类型:float):非制造业PMI:从业人员指数:分行业/服务业 | pmi020600(类型:float):非制造业PMI:业务活动预期指数 | pmi020601(类型:float):非制造业PMI:业务活动预期指数:分行业/建筑业 | pmi020602(类型:float):非制造业PMI:业务活动预期指数:分行业/服务业 | pmi020700(类型:float):非制造业PMI:新出口订单 | pmi020800(类型:float):非制造业PMI:在手订单 | pmi020900(类型:float):非制造业PMI:存货 | pmi021000(类型:float):非制造业PMI:供应商配送时间 | pmi030000(类型:float):中国综合PMI:产出指数,否,否,否,否,否,否,否,,分类由标题/API名推断
327,https://tushare.pro/document/2?doc_id=327,指数专题 > 申万行业日线行情,指数专题,,,申万行业日线行情,sw_daily,获取申万行业日线行情（默认是申万2021版行情）,限量：单次最大4000行数据，可通过指数代码和日期参数循环提取，5000积分可调取,5000,5000积分可用,,,4000,"ts_code(类型:str,必选:N):行业代码 | trade_date(类型:str,必选:N):交易日期 | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期",ts_code(类型:str):指数代码 | trade_date(类型:str):交易日期 | name(类型:str):指数名称 | open(类型:float):开盘点位 | low(类型:float):最低点位 | high(类型:float):最高点位 | close(类型:float):收盘点位 | change(类型:float):涨跌点位 | pct_change(类型:float):涨跌幅 | vol(类型:float):成交量（万股） | amount(类型:float):成交额（万元） | pe(类型:float):市盈率 | pb(类型:float):市净率 | float_mv(类型:float):流通市值（万元） | total_mv(类型:float):总市值（万元）,否,是,否,否,否,否,否,,分类来自总览页链接或显式目录映射
335,https://tushare.pro/document/2?doc_id=335,指数专题 > 申万行业成分构成(分级),指数专题,,,申万行业成分构成(分级),index_member_all,按三级分类提取申万行业成分，可提供某个分类的所有成分，也可按股票代码提取所属分类，参数灵活,限量：单次最大2000行，总量不限制；权限：用户需2000积分可调取，积分获取方法请参阅 积分获取办法,2000,5000积分可用,,,2000,"l1_code(类型:str,必选:N):一级行业代码 | l2_code(类型:str,必选:N):二级行业代码 | l3_code(类型:str,必选:N):三级行业代码 | ts_code(类型:str,必选:N):股票代码 | is_new(类型:str,必选:N):是否最新（默认为“Y是”）",l1_code(类型:str):一级行业代码 | l1_name(类型:str):一级行业名称 | l2_code(类型:str):二级行业代码 | l2_name(类型:str):二级行业名称 | l3_code(类型:str):三级行业代码 | l3_name(类型:str):三级行业名称 | ts_code(类型:str):成分股票代码 | name(类型:str):成分股票名称 | in_date(类型:str):纳入日期 | out_date(类型:str):剔除日期 | is_new(类型:str):是否最新Y是N否,否,否,否,否,否,否,是,a_stock.get_concept_blocks / a_stock.get_industry_comparison；行业分类/概念分类,分类来自总览页链接或显式目录映射
358,https://tushare.pro/document/2?doc_id=358,指数专题 > 指数技术因子(专业版),指数专题,,,指数技术因子(专业版),idx_factor_pro,获取指数每日技术面因子数据，用于跟踪指数当前走势情况，数据由Tushare社区自产，覆盖全历史；输出参数_bfq表示不复权描述中说明了因子的默认传参，如需要特殊参数或者更多因子可以联系管理员评估，指数包括大盘指数 申万行业指数 中信指数,限量：单次最大8000；积分：5000积分每分钟可以请求30次，8000积分以上每分钟500次,5000,5000积分可用,30,,,"ts_code(类型:str,必选:N):指数代码(大盘指数 申万指数 中信指数) | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期 | trade_date(类型:str,必选:N):交易日期","ts_code(类型:str,必选:N):指数代码(大盘指数 申万指数 中信指数) | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期 | trade_date(类型:str,必选:N):交易日期",否,是,否,否,否,否,否,,分类来自总览页链接或显式目录映射
373,https://tushare.pro/document/2?doc_id=373,指数专题 > 中信行业成分,指数专题,,,中信行业成分,ci_index_member,按三级分类提取中信行业成分，可提供某个分类的所有成分，也可按股票代码提取所属分类，参数灵活,限量：单次最大5000行，总量不限制；权限：用户需5000积分可调取，积分获取方法请参阅 积分获取办法,5000,5000积分可用,,,5000,"l1_code(类型:str,必选:N):一级行业代码 | l2_code(类型:str,必选:N):二级行业代码 | l3_code(类型:str,必选:N):三级行业代码 | ts_code(类型:str,必选:N):股票代码 | is_new(类型:str,必选:N):是否最新（默认为“Y是”）",l1_code(类型:str):一级行业代码 | l1_name(类型:str):一级行业名称 | l2_code(类型:str):二级行业代码 | l2_name(类型:str):二级行业名称 | l3_code(类型:str):三级行业代码 | l3_name(类型:str):三级行业名称 | ts_code(类型:str):成分股票代码 | name(类型:str):成分股票名称 | in_date(类型:str):纳入日期 | out_date(类型:str):剔除日期 | is_new(类型:str):是否最新Y是N否,否,否,否,否,否,否,否,,分类来自总览页链接或显式目录映射
462,https://tushare.pro/document/2?doc_id=462,指数专题 > 公募基金业绩基准库,指数专题,,,公募基金业绩基准库,mkt_idx_bmk,获取官方发布的ETF业绩比较基准列表信息，分为一类库、二类库,限量：单次最大500条，单次可以提取全部列表；积分：需要5000积分可以调取，具体请参阅 积分获取办法,5000,5000积分可用,,,500,"ts_code(类型:str,必选:N):指数代码 | bmk_type(类型:str,必选:N):基准类型：策略指数、行业主题指数、行业主题指数、宽基指数 | bmk_level(类型:str,必选:N):基准分类： 一类库、二类库",ts_code(类型:str):TS代码 | symbol(类型:str):代码 | name(类型:str):指数简称 | fullname(类型:str):指数名称 | bmk_level(类型:str):基准库分层 一类库、二类库 | bmk_type(类型:str):基准类型 策略、宽基、行业主题 | bmk_src(类型:str):指数编制机构 | idx_type(类型:str):指数类型 策略类指数；规模类指数；主题类指数；综合类指数；行业类指数；风格类指数,否,否,是,否,否,否,否,,分类来自总览页链接或显式目录映射
468,https://tushare.pro/document/2?doc_id=468,指数专题 > 南华期货指数日线行情,指数专题,,,南华期货指数日线行情,fut_index_daily,获取南华指数每日行情，指数行情也可以通过 通用行情接口 获取数据．,权限：用户需要累积2000积分才可以调取，具体请参阅 积分获取办法,2000,5000积分可用,,,,"ts_code(类型:str,必选:N):指数代码（南华期货指数以 .NH 结尾，具体请参考本文最下方） | trade_date(类型:str,必选:N):交易日期 （日期格式：YYYYMMDD，下同） | start_date(类型:str,必选:N):开始日期 | end_date(类型:None,必选:N):结束日期",ts_code(类型:str):TS指数代码 | trade_date(类型:str):交易日 | close(类型:float):收盘点位 | open(类型:float):开盘点位 | high(类型:float):最高点位 | low(类型:float):最低点位 | pre_close(类型:float):昨日收盘点 | change(类型:float):涨跌点 | pct_chg(类型:float):涨跌幅 | vol(类型:float):成交量（手） | amount(类型:float):成交额（千元）,否,是,否,否,否,否,否,,分类来自总览页链接或显式目录映射
158,https://tushare.pro/document/2?doc_id=158,期权数据 > 期权合约信息,期权数据,,,期权合约信息,opt_basic,获取期权合约信息,积分：用户需要至少5000积分可以调取，具体请参阅 积分获取办法,5000,5000积分可用,,,,"ts_code(类型:str,必选:N):TS期权代码 | exchange(类型:str,必选:N):交易所代码 （包括上交所SSE等 交易所 ） | list_date(类型:str,必选:N):上市交易日 | opt_code(类型:str,必选:N):标准合约代码，OP+期货合约TS_CODE，如棕榈油2207合约，输入OPP2207.DCE | call_put(类型:str,必选:N):期权类型",ts_code(类型:str):TS代码 | symbol(类型:str):交易代码 | exchange(类型:str):交易市场 | name(类型:str):合约名称 | per_unit(类型:str):合约单位 | opt_code(类型:str):标的合约代码 | opt_type(类型:str):合约类型 | call_put(类型:str):期权类型 | exercise_type(类型:str):行权方式 | exercise_price(类型:float):行权价格，经过除权除息调整 | opt_multiplier(类型:float):合约单位，经过除权除息调整 | s_month(类型:str):结算月 | maturity_date(类型:str):到期日 | list_price(类型:float):挂牌基准价 | list_date(类型:str):开始交易日期 | delist_date(类型:str):最后交易日期 | last_edate(类型:str):最后行权日期 | last_ddate(类型:str):最后交割日期 | quote_unit(类型:str):报价单位 | min_price_chg(类型:str):最小价格波幅,否,否,否,否,否,否,否,,分类来自总览页链接或显式目录映射
159,https://tushare.pro/document/2?doc_id=159,期权数据 > 期权日线行情,期权数据,,,期权日线行情,opt_daily,获取期权日线行情,限量：单次最大15000条数据，可跟进日线或者代码循环，总量不限制；积分：用户需要至少2000积分才可以调取，但有流量控制，请自行提高积分，积分越多权限越大，具体请参阅 积分获取办法,2000,5000积分可用,,,15000,"ts_code(类型:str,必选:N):TS合约代码（输入代码或时间至少任意一个参数） | trade_date(类型:str,必选:N):交易日期 | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期 | exchange(类型:str,必选:N):交易所(SSE/SZSE/CFFEX/DCE/SHFE/CZCE）",ts_code(类型:str):TS代码 | trade_date(类型:str):交易日期 | exchange(类型:str):交易市场 | pre_settle(类型:float):昨结算价 | pre_close(类型:float):前收盘价 | open(类型:float):开盘价 | high(类型:float):最高价 | low(类型:float):最低价 | close(类型:float):收盘价 | settle(类型:float):结算价 | vol(类型:float):成交量(手) | amount(类型:float):成交金额(万元) | oi(类型:float):持仓量(手),否,是,否,否,否,否,否,,分类来自总览页链接或显式目录映射
135,https://tushare.pro/document/2?doc_id=135,期货数据 > 期货合约信息表,期货数据,,,期货合约信息表,fut_basic,获取期货合约列表数据,限量：单次最大10000；积分：用户需要至少2000积分才可以调取，具体请参阅 积分获取办法,2000,5000积分可用,,,,"exchange(类型:str,必选:Y):交易所代码 CFFEX-中金所 DCE-大商所 CZCE-郑商所 SHFE-上期所 INE-上海国际能源交易中心 GFEX-广州期货交易所 | fut_type(类型:str,必选:N):合约类型 (1 普通合约 2主力与连续合约 默认取全部) | fut_code(类型:str,必选:N):标准合约代码，如白银AG、AP鲜苹果等 | list_date(类型:str,必选:N):上市开始日期(格式YYYYMMDD，从某日开始以来所有合约）",ts_code(类型:str):合约代码 | symbol(类型:str):交易标识 | exchange(类型:str):交易市场 | name(类型:str):中文简称 | fut_code(类型:str):合约产品代码 | multiplier(类型:float):合约乘数(只适用于国债期货、指数期货) | trade_unit(类型:str):交易计量单位 | per_unit(类型:float):交易单位(每手) | quote_unit(类型:str):报价单位 | quote_unit_desc(类型:str):最小报价单位说明 | d_mode_desc(类型:str):交割方式说明 | list_date(类型:str):上市日期 | delist_date(类型:str):最后交易日期 | d_month(类型:str):交割月份 | last_ddate(类型:str):最后交割日 | trade_time_desc(类型:str):交易时间说明,否,否,否,否,否,否,否,,分类来自总览页链接或显式目录映射
138,https://tushare.pro/document/2?doc_id=138,期货数据 > 期货日线行情,期货数据,,,期货日线行情,fut_daily,期货日线行情数据,限量：单次最大2000条，总量不限制；积分：用户需要至少2000积分才可以调取，未来可能调整积分，请尽量多的积累积分。具体请参阅 积分获取办法,2000,5000积分可用,,,2000,"trade_date(类型:str,必选:N):交易日期(YYYYMMDD格式，下同) | ts_code(类型:str,必选:N):合约代码 | exchange(类型:str,必选:N):交易所代码 | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期",ts_code(类型:str):TS合约代码 | trade_date(类型:str):交易日期 | pre_close(类型:float):昨收盘价 | pre_settle(类型:float):昨结算价 | open(类型:float):开盘价 | high(类型:float):最高价 | low(类型:float):最低价 | close(类型:float):收盘价 | settle(类型:float):结算价 | change1(类型:float):涨跌1 收盘价-昨结算价 | change2(类型:float):涨跌2 结算价-昨结算价 | vol(类型:float):成交量(手) | amount(类型:float):成交金额(万元) | oi(类型:float):持仓量(手) | oi_chg(类型:float):持仓量变化 | delv_settle(类型:float):交割结算价,否,是,否,否,否,否,否,,分类来自总览页链接或显式目录映射
139,https://tushare.pro/document/2?doc_id=139,期货数据 > 每日成交持仓排名,期货数据,,,每日成交持仓排名,fut_holding,"获取每日成交持仓排名数据，注意""上期所""涵盖""上海国际能源交易中心""合约数据",限量：单次最大2000，总量不限制；积分：用户需要至少2000积分才可以调取，具体请参阅 积分获取办法,2000,5000积分可用,,,,"trade_date(类型:str,必选:N):交易日期 （trade_date/symbol至少输入一个参数） | symbol(类型:str,必选:N):合约或产品代码 | start_date(类型:str,必选:N):开始日期(YYYYMMDD格式，下同) | end_date(类型:str,必选:N):结束日期 | exchange(类型:str,必选:N):交易所代码",trade_date(类型:str):交易日期 | symbol(类型:str):合约代码或类型 | broker(类型:str):期货公司会员简称 | vol(类型:int):成交量 | vol_chg(类型:int):成交量变化 | long_hld(类型:int):持买仓量 | long_chg(类型:int):持买仓量变化 | short_hld(类型:int):持卖仓量 | short_chg(类型:int):持卖仓量变化 | exchange(类型:str):交易所,否,否,否,否,否,否,否,,分类来自总览页链接或显式目录映射
140,https://tushare.pro/document/2?doc_id=140,期货数据 > 仓单日报,期货数据,,,仓单日报,fut_wsr,获取仓单日报数据，了解各仓库/厂库的仓单变化,限量：单次最大1000，总量不限制；积分：用户需要至少2000积分才可以调取，具体请参阅 积分获取办法,2000,5000积分可用,,,,"trade_date(类型:str,必选:N):交易日期 | symbol(类型:str,必选:N):产品代码 | start_date(类型:str,必选:N):开始日期(YYYYMMDD格式，下同) | end_date(类型:str,必选:N):结束日期 | exchange(类型:str,必选:N):交易所代码",trade_date(类型:str):交易日期 | symbol(类型:str):产品代码 | fut_name(类型:str):产品名称 | warehouse(类型:str):仓库名称 | wh_id(类型:str):仓库编号 | pre_vol(类型:int):昨日仓单量 | vol(类型:int):今日仓单量 | vol_chg(类型:int):增减量 | area(类型:str):地区 | year(类型:str):年度 | grade(类型:str):等级 | brand(类型:str):品牌 | place(类型:str):产地 | pd(类型:int):升贴水 | is_ct(类型:str):是否折算仓单 | unit(类型:str):单位 | exchange(类型:str):交易所,否,否,否,否,否,否,否,,分类来自总览页链接或显式目录映射
141,https://tushare.pro/document/2?doc_id=141,期货数据 > 结算参数,期货数据,,,结算参数,fut_settle,获取每日结算参数数据，包括交易和交割费率等,限量：单次最大返回1600行数据，可根据日期循环，总量不限制；积分：用户需要至少2000积分才可以调取，具体请参阅 积分获取办法,2000,5000积分可用,,,1600,"trade_date(类型:str,必选:N):交易日期 （trade_date/ts_code至少需要输入一个参数） | ts_code(类型:str,必选:N):合约代码 | start_date(类型:str,必选:N):开始日期(YYYYMMDD格式，下同) | end_date(类型:str,必选:N):结束日期 | exchange(类型:str,必选:N):交易所代码",ts_code(类型:str):合约代码 | trade_date(类型:str):交易日期 | settle(类型:float):结算价 | trading_fee_rate(类型:float):交易手续费率 | trading_fee(类型:float):交易手续费 | delivery_fee(类型:float):交割手续费 | b_hedging_margin_rate(类型:float):买套保交易保证金率 | s_hedging_margin_rate(类型:float):卖套保交易保证金率 | long_margin_rate(类型:float):买投机交易保证金率 | short_margin_rate(类型:float):卖投机交易保证金率 | offset_today_fee(类型:float):平今仓手续率 | exchange(类型:str):交易所,否,否,否,否,否,否,否,,分类来自总览页链接或显式目录映射
189,https://tushare.pro/document/2?doc_id=189,期货数据 > 期货主力与连续合约,期货数据,,,期货主力与连续合约,fut_mapping,获取期货主力（或连续）合约与月合约映射数据,限量：单次最大2000条，总量不限制；积分：用户需要至少2000积分才可以调取，未来可能调整积分，请尽可能多积累积分。具体请参阅 积分获取办法,2000,5000积分可用,,,2000,"ts_code(类型:str,必选:N):合约代码 | trade_date(类型:str,必选:N):交易日期(YYYYMMDD格式，下同) | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期",ts_code(类型:str):连续合约代码 | trade_date(类型:str):起始日期 | mapping_ts_code(类型:str):期货合约代码,否,否,否,否,否,否,否,,分类由API名前缀推断
216,https://tushare.pro/document/2?doc_id=216,期货数据 > 期货主要品种交易周报,期货数据,,,期货主要品种交易周报,fut_weekly_detail,获取期货交易所主要品种每周交易统计信息，数据从2010年3月开始,权限：600积分可调取，单次最大获取4000行数据，积分越高频次越高，5000积分以上正常调取不受限制,600,5000积分可用,,,4000,"week(类型:str,必选:N):周期（每年第几周，e.g. 202001 表示2020第1周） | prd(类型:str,必选:N):期货品种（支持多品种输入，逗号分隔） | start_week(类型:str,必选:N):开始周期 | end_week(类型:str,必选:N):结束周期 | exchange(类型:str,必选:N):交易所（请参考 交易所说明 ） | fields(类型:str,必选:N):提取的字段，e.g. fields='prd,name,vol'",exchange(类型:str):交易所代码 | prd(类型:str):期货品种代码 | name(类型:str):品种名称 | vol(类型:int):成交量（手） | vol_yoy(类型:float):同比增减（%） | amount(类型:float):成交金额（亿元） | amout_yoy(类型:float):同比增减（%） | cumvol(类型:int):年累计成交总量（手） | cumvol_yoy(类型:float):同比增减（%） | cumamt(类型:float):年累计成交金额（亿元） | cumamt_yoy(类型:float):同比增减（%） | open_interest(类型:int):持仓量（手） | interest_wow(类型:float):环比增减（%） | mc_close(类型:float):本周主力合约收盘价 | close_wow(类型:float):环比涨跌（%） | week(类型:str):周期 | week_date(类型:str):周日期,否,否,否,否,否,否,否,,分类由API名前缀推断
368,https://tushare.pro/document/2?doc_id=368,期货数据 > 期货合约涨跌停价格（盘前）,期货数据,,,期货合约涨跌停价格（盘前）,ft_limit,获取所有期货合约每天的涨跌停价格及最低保证金率，数据开始于2005年。,描述：获取所有期货合约每天的涨跌停价格及最低保证金率，数据开始于2005年。；限量：单次最大获取4000行数据，可以通过日期、合约代码等参数循环获取所有历史；积分：用户积5000积分可调取，积分获取方法具体请参阅 积分获取办法,5000,5000积分可用,,,4000,"ts_code(类型:str,必选:N):合约代码 | trade_date(类型:str,必选:N):交易日期（格式：YYYYMMDD） | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期 | cont(类型:str,必选:N):合约代码（例如：cont='CU') | exchange(类型:str,必选:N):交易所代码 （例如：exchange='DCE')",trade_date(类型:str):交易日期 | ts_code(类型:str):TS股票代码 | name(类型:str):合约名称 | up_limit(类型:float):涨停价 | down_limit(类型:float):跌停价 | m_ratio(类型:float):最低交易保证金率（%） | cont(类型:str):合约代码 | exchange(类型:str):交易所代码,否,否,否,否,否,否,否,,分类由API名前缀推断
467,https://tushare.pro/document/2?doc_id=467,期货数据 > 交易日历,期货数据,,,交易日历,fut_trade_cal,获取各大期货交易所交易日历数据,积分：需2000积分才可以提取数据,2000,5000积分可用,,,,"exchange(类型:str,必选:N):交易所 SHFE 上期所 DCE 大商所 CFFEX中金所 CZCE郑商所 INE上海国际能源交易所 | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期 | is_open(类型:int,必选:N):是否交易 0休市 1交易",exchange(类型:str):交易所 同参数部分描述 | cal_date(类型:str):日历日期 | is_open(类型:int):是否交易 0休市 1交易 | pretrade_date(类型:str):上一个交易日,否,否,否,否,否,否,否,,分类由API名前缀推断
191,https://tushare.pro/document/2?doc_id=191,港股数据 > 港股列表,港股数据,,,港股列表,hk_basic,获取港股列表信息,数量：单次可提取全部在交易的港股列表数据；积分：用户需要至少2000积分才可以调取，具体请参阅 积分获取办法,2000,5000积分可用,,,,"ts_code(类型:str,必选:N):TS代码 | list_status(类型:str,必选:N):上市状态 L上市 D退市 P暂停上市 ，默认L",ts_code(类型:str) | name(类型:str):股票简称 | fullname(类型:str):公司全称 | enname(类型:str):英文名称 | cn_spell(类型:str):拼音 | market(类型:str):市场类别 | list_status(类型:str):上市状态 | list_date(类型:str):上市日期 | delist_date(类型:str):退市日期 | trade_unit(类型:float):交易单位 | isin(类型:str):ISIN代码 | curr_type(类型:str):货币代码,否,否,否,否,否,否,否,,分类来自总览页链接或显式目录映射
196,https://tushare.pro/document/2?doc_id=196,港股数据 > 港股通每日成交统计,港股数据,,,港股通每日成交统计,ggt_daily,获取港股通每日成交信息，数据从2014年开始,限量：单次最大1000，总量数据不限制；积分：用户积2000积分可调取，5000积分以上频次相对较高，请自行提高积分，具体请参阅 积分获取办法,2000,5000积分可用,,,,"trade_date(类型:str,必选:N):交易日期 （格式YYYYMMDD，下同。支持单日和多日输入） | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期",trade_date(类型:str):交易日期 | buy_amount(类型:float):买入成交金额（亿元） | buy_volume(类型:float):买入成交笔数（万笔） | sell_amount(类型:float):卖出成交金额（亿元） | sell_volume(类型:float):卖出成交笔数（万笔）,否,否,否,否,是,否,否,,分类由标题/API名推断
250,https://tushare.pro/document/2?doc_id=250,港股数据 > 港股交易日历,港股数据,,,港股交易日历,hk_tradecal,获取交易日历,限量：单次最大2000；权限：用户积累2000积分才可调取,2000,5000积分可用,,,,"start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期 | is_open(类型:str,必选:N):是否交易 '0'休市 '1'交易",cal_date(类型:str):日历日期 | is_open(类型:int):是否交易 '0'休市 '1'交易 | pretrade_date(类型:str):上一个交易日,否,否,否,否,否,否,否,,分类由标题/API名推断
284,https://tushare.pro/document/2?doc_id=284,现货数据 > 黄金现货基础信息,现货数据,,,黄金现货基础信息,sge_basic,获取上海黄金交易所现货合约基础信息,限量：单次最大100条，当前现货合约数不足20个，可以一次提取全部，不需要循环提取；积分：用户积5000积分可以调取，具体请参阅 积分获取办法,5000,5000积分可用,,,100,"ts_code(类型:str,必选:N):合约代码 （支持多个，逗号分隔，不输入为获取全部）",ts_code(类型:str):品种代码 | ts_name(类型:str):品种名称 | trade_type(类型:str):交易类型 | t_unit(类型:float):交易单位(克/手) | p_unit(类型:float):报价单位 | min_change(类型:float):最小变动价位 | price_limit(类型:float):每日价格最大波动限制 | min_vol(类型:int):最小单笔报价量(手) | max_vol(类型:int):最大单笔报价量(手) | trade_mode(类型:str):交易期限 | margin_rate(类型:float):保证金比例 | liq_rate(类型:float):违约金比例(%) | trade_time(类型:str):交易时间 | list_date(类型:str):上市日期,是,否,否,否,否,否,否,,分类来自总览页链接或显式目录映射
285,https://tushare.pro/document/2?doc_id=285,现货数据 > 现货黄金日行情,现货数据,,,现货黄金日行情,sge_daily,获取上海黄金交易所现货合约日线行情,限量：单次最大2000，可循环或者分页提取；积分：用户积2000积分可调取，具体请参阅 积分获取办法,2000,5000积分可用,,,,"ts_code(类型:str,必选:N):合约代码，可通过 基础信息 获得 | trade_date(类型:str,必选:N):交易日期 | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期",ts_code(类型:str):现货合约代码 | trade_date(类型:str):交易日 | close(类型:float):收盘点(元/克) | open(类型:float):开盘点(元/克) | high(类型:float):最高点(元/克) | low(类型:float):最低点(元/克) | price_avg(类型:float):加权平均价(元/克) | change(类型:float):涨跌点位(元/克) | pct_change(类型:float):涨跌幅 | vol(类型:float):成交量(千克) | amount(类型:float):成交金额(元) | oi(类型:float):市场持仓 | settle_vol(类型:float):交收量 | settle_dire(类型:str):持仓方向,否,是,否,否,否,否,否,,分类来自总览页链接或显式目录映射
219,https://tushare.pro/document/2?doc_id=219,美股数据 > 国债收益率曲线利率（日频）,美股数据,,,国债收益率曲线利率（日频）,us_tycr,获取美国每日国债收益率曲线利率,限量：单次最大可获取2000条数据；权限：用户积累120积分可以使用，积分越高频次越高。具体请参阅 积分获取办法,120,5000积分可用,,,2000,"date(类型:str,必选:N):日期 （YYYYMMDD格式，下同） | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期 | fields(类型:str,必选:N):指定输出字段（e.g. fields='m1,y1'）",date(类型:str):日期 | m1(类型:float):1月期 | m2(类型:float):2月期 | m3(类型:float):3月期 | m4(类型:float):4月期（数据从20221019开始） | m6(类型:float):6月期 | y1(类型:float):1年期 | y2(类型:float):2年期 | y3(类型:float):3年期 | y5(类型:float):5年期 | y7(类型:float):7年期 | y10(类型:float):10年期 | y20(类型:float):20年期 | y30(类型:float):30年期,否,否,否,否,否,否,否,,分类由标题/API名推断
